sentence,label
فهل نحاسب انفسنا؟! وحتى لو كنا نحاسبها فكيف ؟ و لماذا ؟,فهل نحاسب انفسنا؟! وحتى لو كنا نحاسبها فكيف ___ نحاسبها ؟ و لماذا ___ نحاسبها ؟
من خلال الحوافز.,من خلال الحوافز.
لن تستطيع مملكة الشر أن تقلل من قيمة السوريين مهما حاولت.,لن تستطيع مملكة الشر أن تقلل من قيمة السوريين مهما حاولت ___.
المجتمع يهتم الناس والشركات بأموالهم,المجتمع يهتم ___ الناس والشركات بأموالهم
هم يلعبون كرة السلة ونحن كرة القدم,هم يلعبون كرة السلة ونحن ___ كرة القدم
محمد يستطيع أن يذهب بمفرده، حتى محمود يستطيع,محمد يستطيع أن يذهب بمفرده، حتى محمود يستطيع ___.
في نهاية كل عام.,في نهاية كل عام.
أنا أحب المسلسلات وهي الأفلام,أنا أحب المسلسلات وهي ___ أيضاً الأفلام
تناول هذا المقال قيمة القمامة المنزلية وبعض الأفكار لإعادة تدويرها وكذلك أهمية تدوير القمامة للإنسان والبيئة,تناول هذا المقال قيمة القمامة المنزلية وبعض الأفكار لإعادة تدويرها وكذلك ___ أهمية تدوير القمامة للإنسان والبيئة
حان الوقت لتبادل بعض العملات والاستفادة منه! ولكن كيف ؟,حان الوقت لتبادل بعض العملات والاستفادة منه! ولكن كيف ___؟
بالاعتماد على وسائل النقل العامة.,بالاعتماد على وسائل النقل العامة.
وكان يقول يكفيك راتبك حتى اني اردته ان يدفع ايجار رمزي جدا لكن رفض.,وكان يقول يكفيك راتبك حتى اني اردته ان يدفع ايجار رمزي جدا لكن رفض ___.
نيوتون,نيوتون
هل تعتبر نفسك محظوظ و لماذا ؟,هل تعتبر نفسك محظوظ و لماذا ___ تعتبر نفسك محظوظ ؟
الأذن,الأذن
إذا كان هناك خلايا سرطانية من سيقوم بعلاجي و متى ؟,إذا كان هناك خلايا سرطانية من سيقوم بعلاجي و متى ___ سيقوم بعلاجي ؟
بالترشيد والتوفير.,بالترشيد والتوفير.
بعدم التصرف غير المسؤول.,بعدم التصرف غير المسؤول.
بإعادة التدوير.,بإعادة التدوير.
في المؤسسات الخيرية.,في المؤسسات الخيرية.
من قام بهذا الفعل لديه أصحاب يشاركونه قناعته، فاذهب إليهم والتمس منهم الاعتذار، أما مني فلا.,من قام بهذا الفعل لديه أصحاب يشاركونه قناعته، فاذهب إليهم والتمس منهم الاعتذار، أما مني فلا ___.
أنا أعمل في البنك وهي في الشركة,أنا أعمل في البنك وهي ___ في الشركة
بالطائرة أو القطار.,بالطائرة أو ___ بالقطار.
عمال الضفائر يتظاهرون تضامنا مع إضراب المحلة,عمال الضفائر يتظاهرون تضامنا مع إضراب ___ في المحلة
الاستناد إلى التقدم المحرز في الدورات السابقة للجمعية العامة للجمعية العامة وكذلك إلى القرارات السابقة,الاستناد إلى التقدم المحرز في الدورات السابقة للجمعية العامة ___ وكذلك إلى القرارات السابقة ___.
كلها معلومات قيمه .. ولكن للأسف يجهلها الكثير من الرجال وكذلك النساء.,كلها معلومات قيمه .. ولكن للأسف يجهلها الكثير من الرجال وكذلك ___ النساء.
أنا أكتب الرسائل وهي البريد الإلكتروني,أنا أكتب الرسائل وهي ___ تكتب البريد الإلكتروني
في مدارس الموسيقى.,في مدارس الموسيقى.
أنا أركض في الصباح وهو في المساء,أنا أركض في الصباح وهو ___ في المساء
كما تم عرض فيلم وثائقي عن الشهداء المكرمين وأسرهم و آخر عن النشاطات التي تقوم بها صحيفة الاعتدال,كما تم عرض فيلم وثائقي عن الشهداء المكرمين وأسرهم و ___ عرض فيلم وثائقي ___ آخر عن النشاطات التي تقوم بها صحيفة الاعتدال
أنا أحب السفر وهي الطبخ,أنا أحب السفر وهي ___ الطبخ
أنا أكتب القصائد وهي الخواطر,أنا أكتب القصائد وهي ___ تكتب الخواطر
احترام القواعد,احترام القواعد
للتنقل داخل المدينة.,للتنقل داخل المدينة ___.
روبرت شومان وجان مونيه,روبرت شومان وجان مونيه
بمشاهدة التلفزيون أو قراءة كتاب.,بمشاهدة التلفزيون أو قراءة كتاب ___.
التمثيل الضوئي,التمثيل الضوئي
في الأوقات الصعبة.,في الأوقات الصعبة.
كنت دائماً أتحدث كثيرا فى هاتفى مع صديقاتى اتحدث معهم عن الجميع ولكن الآن فلا,"كنت دائماً أتحدث كثيرا فى هاتفى مع صديقاتى اتحدث معهم عن الجميع ولكن الآن فلا ___ .

The elided phrase in this sentence is likely something like ""أتحدث كثيرا"" or ""أتحدث معهم عن الجميع"", indicating that the speaker no longer talks a lot on the phone with their friends about everyone as they used to."
هم يستطيعون أن ينجحوا في الامتحان، ونحن كذلك,هم يستطيعون أن ينجحوا في الامتحان، ونحن كذلك ___
بتبادل الثقافات.,بتبادل الثقافات.
الجنيه الإسترليني,الجنيه الإسترليني
أنا أقرأ الروايات وهو القصص,أنا أقرأ الروايات وهو ___ القصص
بعد نصف ساعة.,بعد نصف ساعة.
النهاية,النهاية
الين,الين
بالتقليل من استخدام البلاستيك.,بالتقليل من استخدام البلاستيك.
كلنا نشعر بالجوع وهم العطش,كلنا نشعر بالجوع وهم ___ نشعر بالعطش
وقد أصدرت أعداداً ممتازة عن مشكلات التعليم الديني، و أخرى عن الفتوى وصناعة المفتي,وقد أصدرت أعداداً ممتازة عن مشكلات التعليم الديني، و أعداداً أخرى عن الفتوى وصناعة المفتي
في الشهر الماضي.,في الشهر الماضي.
هم يقرأون الكتاب ونحن الصحيفة,هم يقرأون الكتاب ونحن ___ الصحيفة
والعين ليست منفذًا للأكل والشرب، وكذلك الأذن.,والعين ليست منفذًا للأكل والشرب، وكذلك الأذن ___.
أبراهام لينكولن,أبراهام لينكولن
لا أستطيع أن أكون لطيفة مع من أساء لي حتى وإن حاولت.,لا أستطيع أن أكون لطيفة مع من أساء لي حتى وإن حاولت ___.
على البحر.,على البحر.
الزهرة,الزهرة
يرد على من يقول بأن التوسل كان جائزاً أثناء حياته صلى الله عليه وسلم ولكن بعد وفاته فلا.,يرد على من يقول بأن التوسل كان جائزاً أثناء حياته صلى الله عليه وسلم ولكن بعد وفاته ___ فلا.
يمكن للتفاح أن يبقى حيا عند وضعه في هذه الغرف، أما نحن فلا.,يمكن للتفاح أن يبقى حيا عند وضعه في هذه الغرف، أما نحن فلا ___.
من المحتمل أن تعمل الأزمة الحالية على إعادة صياغة العولمة بطريقة أو بأخرى. ولكن كيف ؟,من المحتمل أن تعمل الأزمة الحالية على إعادة صياغة العولمة بطريقة أو بأخرى. ولكن كيف ___ ؟
الأطفال يحبون هذا اللون والطائشون أيضا.,الأطفال يحبون هذا اللون والطائشون ___ أيضا.
هل أنت فعلا أم ناصر أم هذا مجرد لقب؟ كيف تم التشخيص بالتوحد و أين ؟,هل أنت فعلا أم ناصر أم هذا مجرد لقب؟ كيف تم التشخيص بالتوحد و أين ___؟
أوكتافيان,أوكتافيان
بممارسة الرياضة بانتظام.,بممارسة الرياضة بانتظام.
خاطئ,"خاطئ

There is no ellipsis in this sentence."
ما المعلومات التي يمكن حجبها عن عامة الناس ؟ و لماذا ؟,ما المعلومات التي يمكن حجبها عن عامة الناس ؟ و لماذا ___ ؟
خوفو,خوفو
دعا الى مواصلة تنظيم مثل هذه الورشة وكذلك الدورات لتأهيل محكمين,دعا الى مواصلة تنظيم مثل هذه الورشة وكذلك ___ دعا الى مواصلة تنظيم الدورات لتأهيل محكمين
الكبار,الكبار
وهناك الكثير ممن يقول أريد أن أكون إنساناً فاضلاً ، إنساناً كاملاً ناجحاً في الحياة ، ولكن كيف ؟,وهناك الكثير ممن يقول أريد أن أكون إنساناً فاضلاً ، إنساناً كاملاً ناجحاً في الحياة ، ولكن كيف ___ ؟
الزئبق,الزئبق
إذ لابد أن ينزلوا من فوقها ولكن كيف ؟,إذ لابد أن ينزلوا من فوقها ولكن كيف ___ ؟
ولكن حتى في هذه الحالة تظهر حالات تنكسية. ولكن لماذا ؟,ولكن حتى في هذه الحالة تظهر حالات تنكسية. ولكن لماذا ___ ؟
أنا أكتب في المقهى وهو في المكتبة,أنا أكتب في المقهى وهو ___ في المكتبة
وقد جرى اصطياد بعضها بالبنادق وأخرى عن طريق الفخ والشبكة,وقد جرى اصطياد بعضها بالبنادق وأخرى ___ عن طريق الفخ والشبكة
بالمشاركة الفعّالة.,بالمشاركة الفعّالة.
حيث أنني أحببت صديق أخي لمدة وهو كذلك.,حيث أنني أحببت صديق أخي لمدة وهو ___ أحبني ___ كذلك.
بالمحافظة على النباتات والحيوانات.,بالمحافظة على النباتات والحيوانات ___.
هل يحق لبريطانيا إعطاء اليهود هذا التصريح ؟ و لماذا ؟,هل يحق لبريطانيا إعطاء اليهود هذا التصريح ؟ و لماذا ___ ؟
فدراسة تتحدث عن الفوائد و أخرى عن المضار,فدراسة تتحدث عن الفوائد و أخرى ___ تتحدث ___ عن المضار
هل يجوز للمراه ممارسة الرياضة بالمراكز المخصصه بالنساء وكذلك ممارسة رياضة كرة السلة وكرة الطائرة,هل يجوز للمراه ممارسة الرياضة بالمراكز المخصصه ___ بالنساء وكذلك ممارسة رياضة كرة السلة وكرة الطائرة
المطعم,المطعم
وتساعد الدولة على دفع بعض الأقساط وكذلك الحصول على مبلغ مالي مقطوع,وتساعد الدولة على دفع بعض الأقساط وكذلك ___ تساعد على الحصول على مبلغ مالي مقطوع
لكنه اتضح بأن نوارة اصيب بعيار حي، وكذلك سلامة.,لكنه اتضح بأن نوارة اصيب بعيار حي، وكذلك ___ سلامة.
نابليون بونابرت,نابليون بونابرت
أنا أسافر إلى روما وهم إلى مدريد,أنا أسافر إلى روما وهم ___ إلى مدريد
قرأت فى الثانية عشر كتابا عن شوبنهاور وآخر عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية,قرأت فى الثانية عشر كتابا عن شوبنهاور وآخر ___ عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية
السيليكون,السيليكون
إذا كان القرآن قد نزل في شهر رمضان وفي ليلة القدر حسب آيتين في القرآن ، فإن ليلة القدر تقع في هذا الشهر الكريم ، ولكن متى ؟,إذا كان القرآن قد نزل في شهر رمضان وفي ليلة القدر حسب آيتين في القرآن ، فإن ليلة القدر تقع في هذا الشهر الكريم ، ولكن متى ___ تقع ليلة القدر ___؟
وفي العام الماضي ، افتتحت مصنعا جديدا لتجميع السيارات في تايلاند و آخر في إقليم تشونجينج بوسط الصين.,وفي العام الماضي ، افتتحت مصنعا جديدا لتجميع السيارات في تايلاند و آخر ___ في إقليم تشونجينج بوسط الصين.
علينا التفكير بالصواب ونعالج المشكلة وهنا نسأل كيف ؟,علينا التفكير بالصواب ونعالج المشكلة وهنا نسأل كيف ___ نفكر بالصواب ونعالج المشكلة ___؟
تساهم مباشرة في قتل السوريين وتدمير بلدهم، ولا تستطيع أن تتنكر لذلك مهما حاولت.,تساهم مباشرة في قتل السوريين وتدمير بلدهم، ولا تستطيع أن تتنكر لذلك مهما حاولت ___.
وقالت الصحيفة إن ترامب أبلغ وزير العدل أنه يجب عليه أن يتراجع عن القرار ، لكنه رفض.,وقالت الصحيفة إن ترامب أبلغ وزير العدل أنه يجب عليه أن يتراجع عن القرار ، لكنه رفض ___.
الأخلاق,الأخلاق
اتفقنا أن نسافر إلى السعودية بالطائرة وهو بالباخرة,اتفقنا أن نسافر إلى السعودية بالطائرة وهو ___ بالباخرة
كما عرض فيلم قصير عن بدايات السينما و آخر عن مهرجان خطوات منذ انطلاقته في العام 2013,كما عرض فيلم قصير عن بدايات السينما و آخر ___ عن مهرجان خطوات منذ انطلاقته في العام 2013
من يحطم التماثيل؟ الفاشلون والناجحون أيضا.,من يحطم التماثيل؟ الفاشلون والناجحون ___ يحطمون التماثيل ___ أيضا.
"قال لي: ""أمي تضربني لأن أختي ادخرت مالاً كثيرًا من التسول""، أما أنا فلا.","قال لي: ""أمي تضربني لأن أختي ادخرت مالاً كثيرًا من التسول""، أما أنا فلا ___."
لكن متى يمكنني سحب أموالي و كيف ؟,لكن متى يمكنني سحب أموالي و ___ كيف ؟
ففي العادة كل سنة أتذكّر بعض المواقف التي كنتُ أفعلُها في الماضي وأحاول نسيانها، أما هذه السنة فلا.,ففي العادة كل سنة أتذكّر بعض المواقف التي كنتُ أفعلُها في الماضي وأحاول نسيانها، أما هذه السنة فلا ___.
لم أقتنع برواية أخي وأردت منه أن يعطي الهاتف لأبي ليطمئن قلبي أكثر لكنه رفض.,"لم أقتنع برواية أخي وأردت منه أن يعطي الهاتف لأبي ليطمئن ___ قلبي أكثر لكنه رفض.

The elided word in this sentence is most likely a subject pronoun referring back to ""أبي"" (my father). So the full non-elliptical version would be:

لم أقتنع برواية أخي وأردت منه أن يعطي الهاتف لأبي ليطمئن أبي قلبي أكثر لكنه رفض."
دورة في فك أجزاء المحرك وإعادة التركيب والتشغيل، و أخرى عن كشف الأعطال الشائعة في السيارة,دورة في فك أجزاء المحرك وإعادة التركيب والتشغيل، و أخرى ___ عن كشف الأعطال الشائعة في السيارة
أحيانا تلجا الغربان لقتل بعضها! ولكن لماذا ؟,أحيانا تلجا الغربان لقتل بعضها! ولكن لماذا ___ تلجأ الغربان لقتل بعضها ___؟
مع العلم بأن البيت مؤجر باسمها فهي تشتغل وأنا كذلك.,مع العلم بأن البيت مؤجر باسمها فهي تشتغل وأنا ___ كذلك.
فلن يتيسر لأية قيادة ولأية دكتاتورية أخرى أن تمارس هذا النهج، مهما حاولت.,فلن يتيسر لأية قيادة ولأية دكتاتورية أخرى أن تمارس هذا النهج، مهما حاولت ___.
بعد شهر رمضان.,بعد شهر رمضان.
أنا أركض في الحديقة وهو على الشاطئ,أنا أركض في الحديقة وهو ___ على الشاطئ
وأوضح العقيد شما أن حريقين اندلعا اليوم في ريف منطقة بانياس و آخر في صافيتا.,وأوضح العقيد شما أن حريقين اندلعا اليوم في ريف منطقة بانياس و ___ حريقاً ___ آخر اندلع ___ في صافيتا.
وهذا الكتاب يزخر بالحكمة والتبصر والقلق، وكذلك بالأمل.,وهذا الكتاب يزخر بالحكمة والتبصر والقلق، وكذلك ___ يزخر بالأمل.
الحشود السائرة ملأت شوارع لندن وباريس وواشنطن ، و أخرى في مدن إسبانية وآسيوية.,الحشود السائرة ملأت شوارع لندن وباريس وواشنطن ، و ___ أخرى في مدن إسبانية وآسيوية.
الأردن تشتهر بالشاي بالنعناع ومصر بالشاي بالحليب,الأردن تشتهر بالشاي بالنعناع ومصر ___ تشتهر بالشاي بالحليب
مبينا ان الطفل يستمد عصبيته في الأغلب من أبناء جيله وكذلك الفتاة.,مبينا ان الطفل يستمد عصبيته في الأغلب من أبناء جيله وكذلك الفتاة ___ تستمد عصبيتها في الأغلب من أبناء جيلها ___.
كنت أحلم أن أزوره حيث كان محذورا على عرب الـ 48 زيارة رام الله أما الآن فممكن,كنت أحلم أن أزوره حيث كان محذورا على عرب الـ 48 زيارة رام الله أما الآن فممكن ___ زيارة رام الله ___
فابن خالي الصغير يذهب إلى هناك أما أنا فلا,فابن خالي الصغير يذهب إلى هناك أما أنا فلا ___
هل أحتاج لإزالة الخلايا الليمفاوية و لماذا ؟,هل أحتاج لإزالة الخلايا الليمفاوية و ___ لماذا ؟
نشاطات أسرية,نشاطات أسرية
أنا أعمل في الشركة وهي في الجامعة,أنا أعمل في الشركة وهي ___ في الجامعة
في مدارس اللغات.,في مدارس اللغات.
وندوة الثقافة العلمية ودورها في التنمية الوطنية، و أخرى عن الأطباء والأدباء والأدب في حياتهم,وندوة الثقافة العلمية ودورها في التنمية الوطنية، و أخرى عن الأطباء والأدباء والأدب في حياتهم ___.
نزار قباني,نزار قباني
في المؤسسات الخيرية والمدارس.,في المؤسسات الخيرية والمدارس ___.
سيرا طلبت من الاخ الثاني ان تسكن معه في طوكيو لكنه رفض.,سيرا طلبت من الاخ الثاني ان تسكن معه في طوكيو لكنه رفض ___.
الكربون,الكربون
هم يلعبون كرة الطاولة ونحن كرة القدم,هم يلعبون كرة الطاولة ونحن ___ كرة القدم
ويشترون منتجات فلسطينية طبيعية من الأرض الفلسطينية، و أخرى من منتجات يدوية.,ويشترون منتجات فلسطينية طبيعية من الأرض الفلسطينية، و أخرى ___ من منتجات يدوية.
تقديم بلاغات إلكترونياً ضد أي رجل أمن يستخدم سلطته بشكل مسيء، وكذلك ضد المحرضين والمتجاوزين بشبكات التواصل الاجتماعي,تقديم بلاغات إلكترونياً ضد أي رجل أمن يستخدم سلطته بشكل مسيء، وكذلك ___ تقديم بلاغات إلكترونياً ضد المحرضين والمتجاوزين بشبكات التواصل الاجتماعي
الشمس,الشمس
إذا شعرت ان البيت قد كثرت فيه المشاكل فاعلم أن الشيطان هناك فعليك أن تجتهد بطرده ولكن كيف ؟,إذا شعرت ان البيت قد كثرت فيه المشاكل فاعلم أن الشيطان هناك فعليك أن تجتهد بطرده ولكن كيف ___ ؟
ونجدها بطبيعتها تعمل للكابلات وأنابيب المياه ولكن للتصريف فلا,ونجدها بطبيعتها تعمل للكابلات وأنابيب المياه ولكن ___ لا تعمل للتصريف فلا
في الكتب والمقالات البحثية.,في الكتب والمقالات البحثية.
أتحداك أن تعرف الإجابة عشرة ألغاز خادعة لن تستطيع حلها مهما حاولت.,أتحداك أن تعرف الإجابة ___ عشرة ألغاز خادعة لن تستطيع حلها مهما حاولت.
فلماذا لا يحتوى القاموس على ترجمة بلا انترنت و أخرى عن طريق الانترنت,فلماذا لا يحتوى القاموس على ترجمة بلا انترنت و ___ ترجمة ___ عن طريق الانترنت
أغلب النساء يفضلن الرجل طويل القامة، ولكن لماذا ؟,أغلب النساء يفضلن الرجل طويل القامة، ولكن لماذا ___ ؟
آسيا,آسيا
خرج أحد المعارضين ليعلن أن كل هذا لايساوي شيئا ولكن لماذا ؟,خرج أحد المعارضين ليعلن أن كل هذا لايساوي شيئا ولكن لماذا ___ ؟
يا بني: الموتى فقط هم من يذوقون طعم الموت، أما الأحياء فلا.,يا بني: الموتى فقط هم من يذوقون طعم الموت، أما الأحياء فلا ___.
أنا أحب الفراولة وهي الكرز,أنا أحب الفراولة وهي ___ أحب الكرز
فيلم تسجيلى عن بداية تأسيس المستشفى و آخر عن أشهر الفنانين الذين قاموا بزيارة بهية.,فيلم تسجيلى عن بداية تأسيس المستشفى و آخر ___ عن أشهر الفنانين الذين قاموا بزيارة بهية.
الأكسجين,الأكسجين
بالمحافظة على الموارد الطبيعية.,بالمحافظة على الموارد الطبيعية.
فكيف حدث ذلك وأيعقل أن يقتل الابن أباه ويفر ولكن لماذا ؟,فكيف حدث ذلك وأيعقل أن يقتل الابن أباه ويفر ___ ولكن لماذا ؟
الغربيون غالباً ما ينسون هذه الحقيقة، أما غير الغربيين فلا.,الغربيون غالباً ما ينسون هذه الحقيقة، أما غير الغربيين فلا ___.
أنا أدرس في المدرسة وهو في الجامعة.,أنا أدرس في المدرسة وهو ___ في الجامعة.
نحن نتعلم الرقص وهم التمثيل,نحن نتعلم الرقص وهم ___ التمثيل
بيتر الأول,بيتر الأول
النظام الاجتماعي,النظام الاجتماعي
جدول الأعمال الحاجة الملحة لإعادة بناء الحزب. لكن كيف ؟,جدول الأعمال ___ الحاجة الملحة لإعادة بناء الحزب. لكن كيف ___؟
بتخصيص الوقت للأسرة والاسترخاء.,بتخصيص الوقت للأسرة والاسترخاء.
بالتقليل من الاستهلاك.,بالتقليل من الاستهلاك.
بتقليل استخدام الكلمات العابرة.,بتقليل استخدام الكلمات العابرة.
الحوت الأزرق,الحوت الأزرق
أحب من الأسماء ما شابه اسمها ووافقه,أحب من الأسماء ما شابه اسمها ووافقه ___
بالانفتاح والثقة والاحترام.,بالانفتاح والثقة والاحترام.
سألته هل يمكن أن نجري لقاء تلفزيونيا ؟ لم يكن متحمساً ، لكنه وافق.,سألته هل يمكن أن نجري لقاء تلفزيونيا ؟ لم يكن متحمساً ___ ، لكنه وافق ___.
في صناديق التبرع.,في صناديق التبرع.
قرأت فى الثانية عشر كتابا عن شوبنهاور و آخر عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية,قرأت فى الثانية عشر كتابا عن شوبنهاور و آخر ___ عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية
الأردن تحتفل بعيد الاستقلال والجزائر بعيد النصر,الأردن تحتفل بعيد الاستقلال والجزائر ___ تحتفل بعيد النصر
الابتسامة الحقيقية تكون تجاعيد حول العينين، أما الابتسامة المفتعلة فلا.,الابتسامة الحقيقية تكون تجاعيد حول العينين، أما الابتسامة المفتعلة فلا ___ .
بغسل الأطباق وكنس الأرضية.,بغسل الأطباق وكنس الأرضية.
هم يعرفون قيمة الأحاديث النبوية والآيات ولكن كتطبيق عملي فلا!,هم يعرفون قيمة الأحاديث النبوية والآيات ولكن ___ كتطبيق عملي فلا!
مؤسسا مدينة روما,مؤسسا مدينة روما ___.
تتحدث السفيرة اللغة التركية ونائبها اللغة الفارسية,تتحدث السفيرة اللغة التركية ونائبها ___ اللغة الفارسية
تراجعت إذا أعمال العنف مع حدوث هذه التطورات ، ولكن لماذا ؟,تراجعت إذا أعمال العنف مع حدوث هذه التطورات ، ولكن لماذا ___ ؟
وفي هذا السياق كشفت مصادر صناعية و أخرى في اتحاد التجارة الإيطالي أن إغلاق الصناعات قد يرفع جزئيا نهاية الشهر.,وفي هذا السياق كشفت مصادر صناعية و أخرى ___ في اتحاد التجارة الإيطالي أن إغلاق الصناعات قد يرفع جزئيا نهاية الشهر.
المحكمة الدستورية ستقضى بعدم دستوريته ولكن متى ؟,المحكمة الدستورية ستقضى بعدم دستوريته ولكن متى ___ ستقضى بعدم دستوريته ___؟
أعزب,أعزب
والجزء الأكبر من تلك الطرق معبد بواقع 3،732،757 كم أما الباقي فلا,والجزء الأكبر من تلك الطرق معبد بواقع 3،732،757 كم أما الباقي فلا ___
عند مغادرة الغرفة.,عند مغادرة الغرفة ___.
فالرجل يستطيع أن يطلب من صديقه كوباً من الماء وعوناً مالياً أيضاً، أما زوجته فلا.,فالرجل يستطيع أن يطلب من صديقه كوباً من الماء وعوناً مالياً أيضاً، أما زوجته فلا ___.
ومندوب عن مديرية الزراعة بالمحافظة، و آخر عن الاتصال السياسي بمديرية التربية والتعليم.,ومندوب عن مديرية الزراعة بالمحافظة، و ___ مندوب ___ آخر عن الاتصال السياسي بمديرية التربية والتعليم.
بطرق تعليمية ممتعة.,بطرق تعليمية ممتعة ___.
من المحترفين الطبيين.,من المحترفين الطبيين ___.
مارتن لوثر كينغ,مارتن لوثر كينغ
بمشاركة السيارات أو استخدام وسائل النقل العامة.,بمشاركة السيارات أو استخدام وسائل النقل العامة.
في الأوقات المخصصة للصلوات والعبادة.,في الأوقات المخصصة للصلوات والعبادة.
هناك مقولة تقول (مكره أخاك لا بطل)، أي سنوافق عليه مكرهين، أما برضانا فلا.,هناك مقولة تقول (مكره أخاك لا بطل)، أي سنوافق عليه مكرهين، أما برضانا ___ فلا.
لا تنقل أشخاص لا تعرفهم في سيارتك فالزمن لا يرحم والقانون أيضا.,لا تنقل أشخاص لا تعرفهم في سيارتك فالزمن لا يرحم والقانون ___ لا يرحم ___ أيضا.
فبراير,فبراير
ويتم عزل الأسرى فيها تماماً عن العالم الخارجي، وكذلك عن عالم السجن الداخلي.,ويتم عزل الأسرى فيها تماماً عن العالم الخارجي، وكذلك ___ عن عالم السجن الداخلي.
أنا سأخذ الأبيض وخالد الأسود,أنا سأخذ الأبيض وخالد ___ الأسود
هم يسافرون إلى أمريكا ونحن إلى أوروبا,هم يسافرون إلى أمريكا ونحن ___ إلى أوروبا
حفل تكريم,حفل تكريم
قال سبعة إنهم اختطفوا في 2012 و12 شخصاً في 2011 وشخص واحد في 2010 و آخر في 2009.,قال سبعة إنهم اختطفوا في 2012 و12 شخصاً ___ في 2011 وشخص واحد ___ في 2010 و آخر ___ في 2009.
في صناديق تخزين خاصة.,في صناديق تخزين خاصة.
وكذلك محاضرة عن أمراض أعصاب القولون عند الأطفال و أخرى عن تشوهات المريء,وكذلك محاضرة عن أمراض أعصاب القولون عند الأطفال و أخرى ___ عن تشوهات المريء
في البنك أو المحفظة الإلكترونية.,في البنك أو ___ المحفظة الإلكترونية.
هم سافروا إلى الأسكندرية ونحن القاهرة,هم سافروا إلى الأسكندرية ونحن ___ القاهرة
بريد إلكتروني وكيبورد.,بريد إلكتروني وكيبورد.
ندعو من الله ان يعين أبناء العراق المظلومين منذ 1978 إلى يومنا هذا ، من قال ان صدام افضل و لماذا ؟,ندعو من الله ان يعين أبناء العراق المظلومين منذ 1978 إلى يومنا هذا ، ___ من قال ان صدام افضل و لماذا ___؟
كل فتاة تختلف عن الأخرى بمقياس الألم، فمن الممكن أن تشعر إحداهن بالألم، أما الأخرى فلا.,كل فتاة تختلف عن الأخرى بمقياس الألم، فمن الممكن أن تشعر إحداهن بالألم، أما الأخرى فلا ___.
إلى الشاطئ أو الجبل.,إلى الشاطئ أو ___ الجبل.
أنا أحب الشوكولاتة وهي الفانيليا,أنا أحب الشوكولاتة وهي ___ الفانيليا
ولا بد من منع مثل هذه الكارثة، ولكن كيف ؟,ولا بد من منع مثل هذه الكارثة، ولكن كيف ___ ؟
الأخطاء الشخصية في حقي أنا مسامحك عنها ربنا يحلك، أما الأخطاء اللاهوتية والعقائدية فلا.,الأخطاء الشخصية في حقي أنا مسامحك عنها ربنا يحلك، أما الأخطاء اللاهوتية والعقائدية فلا ___.
هذا هو شعور معظم البشر للأسف الشديد، فالله يغفر ويسامح، أما البشر فلا.,هذا هو شعور معظم البشر للأسف الشديد، فالله يغفر ويسامح، أما البشر فلا ___.
بانتظار الضوء الأخضر.,بانتظار الضوء الأخضر ___.
بتقديم المساعدة في المهام اليومية.,بتقديم المساعدة في المهام اليومية.
هذا يعني أنك لم توقّع على أيّ أفلام، ولكن لماذا ؟,هذا يعني أنك لم توقّع على أيّ أفلام، ولكن لماذا ___ ؟
الماء أو العصير.,الماء أو العصير ___.
فالمسلم يؤمن أن الإله واحد للجميع، والمسيحيون كذلك.,فالمسلم يؤمن أن الإله واحد للجميع، والمسيحيون يؤمنون ___ كذلك.
يتناول هذا المقال التعريف بالأسمدة العضوية وأهم فوائدها وكذلك أضرار الأسمدة الكيماوية,يتناول هذا المقال التعريف بالأسمدة العضوية وأهم فوائدها وكذلك أضرار الأسمدة الكيماوية
ومن بعدها سيأتي ناد من كولومبيا و آخر من تشيلي والأرجنتين.,ومن بعدها سيأتي ناد من كولومبيا و آخر من تشيلي و___ الأرجنتين.
السؤال ليس ما إذا كانت الألعاب ستقام، ولكن كيف ؟,السؤال ليس ما إذا كانت الألعاب ستقام، ولكن كيف ___ ستقام ___؟
بالامتناع عن التمييز.,بالامتناع عن التمييز.
مواطنون,مواطنون
وكان الشهيد قد وصل الى المستشفى مصابا برصاصة في الرأس و أخرى في الصدر.,وكان الشهيد قد وصل الى المستشفى مصابا برصاصة في الرأس و أخرى ___ في الصدر.
الخوارزمي,الخوارزمي
بإيقاف الأجهزة عند عدم الاستخدام.,بإيقاف الأجهزة عند عدم الاستخدام.
سيظل الرئيس وعائلته يحمي البلد من الحروب الأهلية ولكن من الجوع والفقر والمرض فلا!,سيظل الرئيس وعائلته يحمي البلد من الحروب الأهلية ولكن ___ لا يحمي البلد من الجوع والفقر والمرض فلا!
البحوث الأكاديمية التى أنجزها علماء أجانب ومصريون عن العصر الفرعونى وكذلك عن العصر الإسلامي,البحوث الأكاديمية التى أنجزها علماء أجانب ومصريون عن العصر الفرعونى وكذلك ___ أنجزها علماء أجانب ومصريون عن العصر الإسلامي
وللمفاجأة كانت الطائرة سليمة وكذلك مدافعها.,وللمفاجأة كانت الطائرة سليمة وكذلك ___ مدافعها.
